LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT
48.717759999999998,-121.152389999999997,304.589999999999975,1.000000000000000,1.000000000000000,2023/08/03,"0529",Terra,MODIS,"61",6.1NRT,290.089999999999975,7.000000000000000,N
48.710630000000002,-121.137519999999995,319.129999999999995,1.230000000000000,1.100000000000000,2023/08/03,"1902",Terra,MODIS,"64",6.1NRT,295.069999999999993,20.390000000000001,D
48.723219999999998,-121.150090000000006,313.290000000000020,1.230000000000000,1.100000000000000,2023/08/03,"1902",Terra,MODIS,"51",6.1NRT,295.490000000000009,12.640000000000001,D
48.711829999999999,-121.137209999999996,325.079999999999984,1.180000000000000,1.080000000000000,2023/08/03,"2133",Aqua,MODIS,"59",6.1NRT,300.089999999999975,23.800000000000001,D
48.719490000000000,-121.156390000000002,326.370000000000005,1.170000000000000,1.080000000000000,2023/08/03,"2133",Aqua,MODIS,"75",6.1NRT,302.240000000000009,24.930000000000000,D
48.730080000000001,-121.126570000000001,320.959999999999980,2.360000000000000,1.480000000000000,2023/08/04,"0612",Terra,MODIS,"100",6.1NRT,289.000000000000000,69.560000000000002,N
48.728569999999998,-121.154589999999999,328.350000000000023,2.350000000000000,1.480000000000000,2023/08/04,"0612",Terra,MODIS,"100",6.1NRT,289.319999999999993,97.620000000000005,N
48.727660000000000,-121.120040000000003,300.930000000000007,1.780000000000000,1.310000000000000,2023/08/04,"1104",Aqua,MODIS,"36",6.1NRT,286.610000000000014,14.199999999999999,N
48.733080000000001,-121.144329999999997,314.139999999999986,1.770000000000000,1.300000000000000,2023/08/04,"1104",Aqua,MODIS,"89",6.1NRT,286.949999999999989,34.640000000000001,N
48.727690000000003,-121.145340000000004,311.720000000000027,3.800000000000000,1.820000000000000,2023/08/04,"1942",Terra,MODIS,"51",6.1NRT,291.310000000000002,69.680000000000007,D
48.710859999999997,-121.150890000000004,315.529999999999973,3.920000000000000,1.840000000000000,2023/08/04,"2214",Aqua,MODIS,"59",6.1NRT,295.500000000000000,68.689999999999998,D
48.727139999999999,-121.161349999999999,344.180000000000007,3.920000000000000,1.840000000000000,2023/08/04,"2214",Aqua,MODIS,"93",6.1NRT,296.990000000000009,338.360000000000014,D
48.725320000000004,-121.230119999999999,318.360000000000014,3.900000000000000,1.840000000000000,2023/08/04,"2214",Aqua,MODIS,"65",6.1NRT,296.660000000000025,87.879999999999995,D
48.713929999999998,-121.222700000000003,314.519999999999982,3.900000000000000,1.840000000000000,2023/08/04,"2214",Aqua,MODIS,"51",6.1NRT,296.519999999999982,65.409999999999997,D
48.731780000000001,-121.152680000000004,304.910000000000025,1.220000000000000,1.100000000000000,2023/08/05,"0514",Terra,MODIS,"14",6.1NRT,277.990000000000009,10.199999999999999,N
48.722130000000000,-121.149630000000002,321.699999999999989,1.220000000000000,1.100000000000000,2023/08/05,"0514",Terra,MODIS,"92",6.1NRT,278.970000000000027,26.980000000000000,N
48.719520000000003,-121.163910000000001,313.850000000000023,1.220000000000000,1.100000000000000,2023/08/05,"0514",Terra,MODIS,"36",6.1NRT,279.389999999999986,17.449999999999999,N
48.729540000000000,-121.154750000000007,308.829999999999984,1.470000000000000,1.200000000000000,2023/08/05,"1009",Aqua,MODIS,"60",6.1NRT,288.579999999999984,16.750000000000000,N
48.718879999999999,-121.157340000000005,303.839999999999975,1.470000000000000,1.200000000000000,2023/08/05,"1009",Aqua,MODIS,"11",6.1NRT,287.519999999999982,10.880000000000001,N
48.715870000000002,-121.170559999999995,308.639999999999986,2.460000000000000,1.510000000000000,2023/08/11,"2034",Aqua,MODIS,"63",6.1NRT,291.920000000000016,29.190000000000001,D
48.709479999999999,-121.175449999999998,311.819999999999993,2.460000000000000,1.510000000000000,2023/08/11,"2034",Aqua,MODIS,"66",6.1NRT,292.920000000000016,36.869999999999997,D
48.709560000000003,-121.167950000000005,313.329999999999984,1.040000000000000,1.020000000000000,2023/08/12,"1836",Terra,MODIS,"66",6.1NRT,290.959999999999980,10.760000000000000,D
48.714530000000003,-121.175889999999995,346.220000000000027,1.000000000000000,1.000000000000000,2023/08/12,"2116",Aqua,MODIS,"94",6.1NRT,295.509999999999991,50.340000000000003,D
48.705750000000002,-121.173090000000002,319.889999999999986,1.000000000000000,1.000000000000000,2023/08/12,"2116",Aqua,MODIS,"75",6.1NRT,294.860000000000014,14.350000000000000,D
48.707729999999998,-121.159809999999993,309.459999999999980,1.000000000000000,1.000000000000000,2023/08/12,"2116",Aqua,MODIS,"50",6.1NRT,292.079999999999984,6.030000000000000,D
48.702570000000001,-121.176450000000003,316.509999999999991,1.180000000000000,1.080000000000000,2023/08/13,"0546",Terra,MODIS,"93",6.1NRT,290.629999999999995,18.739999999999998,N
48.700890000000001,-121.191890000000001,305.310000000000002,1.180000000000000,1.080000000000000,2023/08/13,"0546",Terra,MODIS,"12",6.1NRT,289.579999999999984,8.270000000000000,N
48.711919999999999,-121.180660000000003,328.310000000000002,1.180000000000000,1.080000000000000,2023/08/13,"0546",Terra,MODIS,"100",6.1NRT,292.680000000000007,34.329999999999998,N
48.710059999999999,-121.197530000000000,306.889999999999986,1.180000000000000,1.080000000000000,2023/08/13,"0546",Terra,MODIS,"24",6.1NRT,289.189999999999998,9.400000000000000,N
48.706310000000002,-121.160309999999996,302.850000000000023,1.180000000000000,1.080000000000000,2023/08/13,"1049",Aqua,MODIS,"31",6.1NRT,289.240000000000009,7.370000000000000,N
48.719020000000000,-121.175010000000000,302.980000000000018,1.180000000000000,1.080000000000000,2023/08/13,"1049",Aqua,MODIS,"40",6.1NRT,288.930000000000007,7.620000000000000,N
48.709139999999998,-121.175809999999998,326.899999999999977,1.180000000000000,1.080000000000000,2023/08/13,"1049",Aqua,MODIS,"100",6.1NRT,291.680000000000007,33.320000000000000,N
48.709180000000003,-121.184410000000000,314.579999999999984,1.870000000000000,1.340000000000000,2023/08/13,"1917",Terra,MODIS,"62",6.1NRT,297.389999999999986,23.420000000000002,D
48.702710000000003,-121.178550000000001,313.009999999999991,1.870000000000000,1.340000000000000,2023/08/13,"1917",Terra,MODIS,"51",6.1NRT,296.620000000000005,19.059999999999999,D
48.700159999999997,-121.208950000000002,309.339999999999975,3.730000000000000,1.810000000000000,2023/08/13,"2021",Aqua,MODIS,"51",6.1NRT,297.009999999999991,31.719999999999999,D
48.730890000000002,-121.154139999999998,346.050000000000011,2.370000000000000,1.490000000000000,2023/08/13,"2159",Aqua,MODIS,"88",6.1NRT,301.740000000000009,167.270000000000010,D
48.728360000000002,-121.199200000000005,323.170000000000016,2.360000000000000,1.480000000000000,2023/08/13,"2159",Aqua,MODIS,"76",6.1NRT,299.149999999999977,49.430000000000000,D
48.731810000000003,-121.184719999999999,337.959999999999980,2.360000000000000,1.480000000000000,2023/08/13,"2159",Aqua,MODIS,"83",6.1NRT,300.189999999999998,114.569999999999993,D
48.734070000000003,-121.148120000000006,341.459999999999980,2.370000000000000,1.490000000000000,2023/08/13,"2159",Aqua,MODIS,"79",6.1NRT,299.790000000000020,135.039999999999992,D
48.711460000000002,-121.177120000000002,316.290000000000020,1.450000000000000,1.190000000000000,2023/08/14,"1821",Terra,MODIS,"40",6.1NRT,303.149999999999977,12.970000000000001,D
48.712910000000001,-121.192790000000002,330.829999999999984,1.450000000000000,1.190000000000000,2023/08/14,"1821",Terra,MODIS,"82",6.1NRT,304.310000000000002,39.310000000000002,D
48.708590000000001,-121.192859999999996,320.000000000000000,1.200000000000000,1.090000000000000,2023/08/14,"2101",Aqua,MODIS,"29",6.1NRT,303.959999999999980,12.380000000000001,D
48.713850000000001,-121.183769999999996,323.730000000000018,1.190000000000000,1.090000000000000,2023/08/14,"2101",Aqua,MODIS,"69",6.1NRT,303.519999999999982,18.120000000000001,D
48.728520000000003,-121.159130000000005,321.449999999999989,1.190000000000000,1.090000000000000,2023/08/14,"2101",Aqua,MODIS,"47",6.1NRT,302.769999999999982,15.730000000000000,D
48.737990000000003,-121.162660000000002,347.939999999999998,1.190000000000000,1.090000000000000,2023/08/14,"2101",Aqua,MODIS,"94",6.1NRT,302.519999999999982,65.219999999999999,D
48.748699999999999,-121.161910000000006,342.810000000000002,1.000000000000000,1.000000000000000,2023/08/15,"0529",Terra,MODIS,"100",6.1NRT,298.889999999999986,47.119999999999997,N
48.750610000000002,-121.148529999999994,341.899999999999977,1.000000000000000,1.000000000000000,2023/08/15,"0529",Terra,MODIS,"100",6.1NRT,296.300000000000011,45.590000000000003,N
48.739939999999997,-121.159080000000003,323.420000000000016,1.000000000000000,1.000000000000000,2023/08/15,"0529",Terra,MODIS,"100",6.1NRT,297.500000000000000,19.180000000000000,N
48.741860000000003,-121.145679999999999,310.860000000000014,1.000000000000000,1.000000000000000,2023/08/15,"0529",Terra,MODIS,"70",6.1NRT,293.939999999999998,8.369999999999999,N
48.718640000000001,-121.179519999999997,309.160000000000025,1.000000000000000,1.000000000000000,2023/08/15,"0529",Terra,MODIS,"67",6.1NRT,294.860000000000014,7.300000000000000,N
48.742780000000003,-121.157340000000005,308.470000000000027,1.000000000000000,1.000000000000000,2023/08/15,"1034",Aqua,MODIS,"75",6.1NRT,294.670000000000016,7.800000000000000,N
48.749549999999999,-121.141300000000001,314.949999999999989,1.000000000000000,1.000000000000000,2023/08/15,"1034",Aqua,MODIS,"90",6.1NRT,294.199999999999989,12.859999999999999,N
48.751550000000002,-121.154489999999996,323.040000000000020,1.000000000000000,1.000000000000000,2023/08/15,"1034",Aqua,MODIS,"100",6.1NRT,296.480000000000018,20.480000000000000,N
48.745080000000002,-121.146839999999997,329.769999999999982,1.220000000000000,1.100000000000000,2023/08/15,"1902",Terra,MODIS,"81",6.1NRT,303.439999999999998,30.379999999999999,D
48.719340000000003,-121.173289999999994,316.339999999999975,1.220000000000000,1.100000000000000,2023/08/15,"1902",Terra,MODIS,"36",6.1NRT,305.389999999999986,11.090000000000000,D
48.749769999999998,-121.166579999999996,334.259999999999991,1.530000000000000,1.220000000000000,2023/08/15,"2144",Aqua,MODIS,"84",6.1NRT,306.850000000000023,47.759999999999998,D
48.751179999999998,-121.150440000000003,370.509999999999991,1.540000000000000,1.220000000000000,2023/08/15,"2144",Aqua,MODIS,"100",6.1NRT,308.910000000000025,205.500000000000000,D
48.752820000000000,-121.131649999999993,331.500000000000000,1.540000000000000,1.220000000000000,2023/08/15,"2144",Aqua,MODIS,"81",6.1NRT,298.420000000000016,42.520000000000003,D
48.737290000000002,-121.182950000000005,326.819999999999993,1.530000000000000,1.220000000000000,2023/08/15,"2144",Aqua,MODIS,"70",6.1NRT,306.759999999999991,27.370000000000001,D
48.739170000000001,-121.161379999999994,383.139999999999986,1.530000000000000,1.220000000000000,2023/08/15,"2144",Aqua,MODIS,"100",6.1NRT,313.589999999999975,292.879999999999995,D
48.740519999999997,-121.145769999999999,386.000000000000000,1.540000000000000,1.220000000000000,2023/08/15,"2144",Aqua,MODIS,"100",6.1NRT,311.339999999999975,319.089999999999975,D
48.742040000000003,-121.128290000000007,328.990000000000009,1.540000000000000,1.220000000000000,2023/08/15,"2144",Aqua,MODIS,"72",6.1NRT,302.689999999999998,35.189999999999998,D
48.734720000000003,-121.174570000000003,351.170000000000016,1.530000000000000,1.220000000000000,2023/08/15,"2144",Aqua,MODIS,"95",6.1NRT,308.310000000000002,100.209999999999994,D
48.736550000000001,-121.154480000000007,367.060000000000002,1.530000000000000,1.220000000000000,2023/08/15,"2144",Aqua,MODIS,"100",6.1NRT,311.930000000000007,178.599999999999994,D
48.737920000000003,-121.139020000000002,356.779999999999973,1.540000000000000,1.220000000000000,2023/08/15,"2144",Aqua,MODIS,"98",6.1NRT,307.370000000000005,128.120000000000005,D
48.710889999999999,-121.193209999999993,323.139999999999986,1.530000000000000,1.220000000000000,2023/08/15,"2144",Aqua,MODIS,"57",6.1NRT,307.810000000000002,21.000000000000000,D
48.713079999999998,-121.169340000000005,330.300000000000011,1.530000000000000,1.220000000000000,2023/08/15,"2144",Aqua,MODIS,"79",6.1NRT,307.550000000000011,37.130000000000003,D
48.746899999999997,-121.190889999999996,331.240000000000009,2.320000000000000,1.470000000000000,2023/08/16,"0610",Terra,MODIS,"100",6.1NRT,293.360000000000014,100.829999999999998,N
48.748350000000002,-121.163640000000001,369.000000000000000,2.330000000000000,1.480000000000000,2023/08/16,"0610",Terra,MODIS,"100",6.1NRT,296.120000000000005,384.680000000000007,N
48.749549999999999,-121.140950000000004,319.939999999999998,2.340000000000000,1.480000000000000,2023/08/16,"0610",Terra,MODIS,"98",6.1NRT,289.230000000000018,55.659999999999997,N
48.733139999999999,-121.200550000000007,308.959999999999980,2.320000000000000,1.470000000000000,2023/08/16,"0610",Terra,MODIS,"47",6.1NRT,290.550000000000011,25.760000000000002,N
48.735419999999998,-121.157179999999997,311.589999999999975,2.330000000000000,1.480000000000000,2023/08/16,"0610",Terra,MODIS,"72",6.1NRT,294.740000000000009,31.750000000000000,N
48.750090000000000,-121.185280000000006,342.439999999999998,2.320000000000000,1.470000000000000,2023/08/16,"0610",Terra,MODIS,"100",6.1NRT,294.110000000000014,159.129999999999995,N
48.751500000000000,-121.160610000000005,360.959999999999980,2.330000000000000,1.480000000000000,2023/08/16,"0610",Terra,MODIS,"100",6.1NRT,292.790000000000020,300.449999999999989,N
48.752980000000001,-121.134919999999994,315.379999999999995,2.340000000000000,1.480000000000000,2023/08/16,"0610",Terra,MODIS,"91",6.1NRT,288.730000000000018,39.950000000000003,N
48.736710000000002,-121.187029999999993,330.089999999999975,2.320000000000000,1.470000000000000,2023/08/16,"0610",Terra,MODIS,"100",6.1NRT,293.750000000000000,95.019999999999996,N
48.738650000000000,-121.153639999999996,320.699999999999989,2.330000000000000,1.480000000000000,2023/08/16,"0610",Terra,MODIS,"100",6.1NRT,295.370000000000005,58.619999999999997,N
48.739930000000001,-121.130880000000005,302.689999999999998,2.340000000000000,1.480000000000000,2023/08/16,"0610",Terra,MODIS,"45",6.1NRT,291.139999999999986,10.310000000000000,N
48.763579999999997,-121.192800000000005,302.089999999999975,3.780000000000000,1.820000000000000,2023/08/16,"0939",Aqua,MODIS,"35",6.1NRT,290.329999999999984,34.070000000000000,N
48.761910000000000,-121.130489999999995,311.750000000000000,3.750000000000000,1.810000000000000,2023/08/16,"0939",Aqua,MODIS,"83",6.1NRT,289.670000000000016,74.629999999999995,N
48.745719999999999,-121.134159999999994,305.860000000000014,3.750000000000000,1.810000000000000,2023/08/16,"0939",Aqua,MODIS,"63",6.1NRT,290.649999999999977,47.280000000000001,N
48.759430000000002,-121.164100000000005,314.560000000000002,2.410000000000000,1.500000000000000,2023/08/16,"1117",Aqua,MODIS,"89",6.1NRT,291.360000000000014,49.520000000000003,N
48.752530000000000,-121.136300000000006,311.040000000000020,2.420000000000000,1.500000000000000,2023/08/16,"1117",Aqua,MODIS,"82",6.1NRT,291.500000000000000,39.000000000000000,N
48.744700000000002,-121.162480000000002,323.879999999999995,2.410000000000000,1.500000000000000,2023/08/16,"1117",Aqua,MODIS,"100",6.1NRT,292.399999999999977,81.549999999999997,N
